,symbol
1341,CENT
1342,CENTA
1343,CENX
1344,CEQP-P
1345,CEQP
1346,CERE
1347,CERS
1348,CERT
1349,CETX
1350,CETXP
1351,CETXW
1352,CETY
1353,CEVA
1354,CF
1355,CFACU
1356,CFB
1357,CFBK
1358,CFFE
1359,CFFEU
1360,CFFEW
1361,CFFI
1362,CFFN
1363,CFFVW
1364,CFG-PE
1365,CFG
1366,CFIV
1367,CFIVW
1368,CFLT
1369,CFMS
1370,CFNB
1371,CFR-PB
1372,CFRX
1373,CFSB
1374,CFVIU
1375,CFVIW
1376,CFX
1377,CG
1378,CGBD
1379,CGEM
1380,CGLO
1381,CGN.DE
1382,CGNT
1383,CGNX
1384,CGRN
1385,CGTX
1386,CH1A.DE
1387,CHCI
1388,CHCT
1389,CHEF
1390,CHFW-UN
1391,CHGG
1392,CHGI
1393,CHK
1394,CHKEL
1395,CHKEW
1396,CHKEZ
1397,CHKR
1398,CHMA
1399,CHMG
1400,CHMI-PA
1401,CHMI-PB
1402,CHMI
1403,CHNG
1404,CHNGU
1405,CHPM
1406,CHPMU
1407,CHPMW
1408,CHRA
1409,CHRS
1410,CHSCL
1411,CHSCM
1412,CHSCN
1413,CHSCO
1414,CHSCP
1415,CHT
1416,CHTH
1417,CHUC
1418,CHUY
1419,CHV.DE
1420,CHX
1421,CIA
1422,CIDM
1423,CIFR
1424,CIIG
1425,CIIGU
1426,CIM-PA
1427,CIM-PB
1428,CIM-PD
1429,CIM
1430,CINR
1431,CINV
1432,CIO-PA
1433,CIR
1434,CIRX
1435,CISO
1436,CIT-PB
1437,CIT
1438,CIVB
1439,CIVI
1440,CIX
1441,CIZN
1442,CKPT
1443,CKX
1444,CLAR
1445,CLAS-UN
1446,CLAS
1447,CLAY
1448,CLAYW
1449,CLB
1450,CLBK
1451,CLBR
1452,CLBS
1453,CLCN
1454,CLCS
1455,CLDB
1456,CLDR
1457,CLDT-PA
1458,CLDT
1459,CLDX
1460,CLF
1461,CLFD
1462,CLI
1463,CLII
1464,CLIM-UN
1465,CLIR
1466,CLLS
1467,CLMT
1468,CLNC
1469,CLNE
1470,CLNH
1471,CLNN
1472,CLNY
1473,CLOE
1474,CLOEU
1475,CLOK
1476,CLOQ
1477,CLOV
1478,CLOW
1479,CLPR
1480,CLPT
1481,CLR
1482,CLRB
1483,CLRI
1484,CLRM
1485,CLRMU
1486,CLRMW
1487,CLRO
1488,CLSD
1489,CLSEL.NS
1490,CLSH
1491,CLSK
1492,CLSN
1493,CLST
1494,CLTS
1495,CLVR
1496,CLVRW
1497,CLVT-PA
1498,CLVT
1499,CLW
1500,CLWD
1501,CLXT
1502,CMAX
1503,CMBM
1504,CMC.DE
1505,CMCO
1506,CMCSA
1507,CMCT
1508,CMCTP
1509,CMGO
1510,CMIIU
1511,CMLF
1512,CMLFU
1513,CMLS
1514,CMLTU
1515,CMO
1516,CMP
1517,CMPI
1518,CMPS
1519,CMPX
1520,CMRX
1521,CMS-PC
1522,CMS
1523,CMSD
1524,CMT
1525,CMTG
1526,CMTV
1527,CMXC
1528,CNA
1529,CNBKA
1530,CNBX
1531,CNCE
1532,CNCG
1533,CND-UN
1534,CND
1535,CNDT
1536,CNFN
1537,CNFR
1538,CNGL
1539,CNGLW
1540,CNIC.L
1541,CNIG
1542,CNIGO
1543,CNIGP
1544,CNK
1545,CNLHN
1546,CNLPM
1547,CNLTL
1548,CNLTN
1549,CNNB
1550,CNNC
1551,CNNE
1552,CNO
1553,CNOB
1554,CNOBP
1555,CNP-PB
1556,CNP
1557,CNR
1558,CNSL
1559,CNSP
1560,CNST
1561,CNTG
1562,CNTHO
1563,CNTHP
1564,CNTQ
1565,CNTQU
1566,CNTX
1567,CNTY
1568,CNVY
1569,CNX
1570,CNXN
1571,COCO
1572,COCP
1573,CODI-PA
1574,CODI-PB
1575,CODI-PC
1576,CODI
1577,CODX
1578,COEP
1579,COF-PI
1580,COFS
1581,COG
1582,COGT
1583,COHN
1584,COHU
1585,COLB
1586,COLD
1587,COLI
1588,COLIU
1589,COLL
1590,COMM
1591,COMP
1592,COMS
1593,COMSW
1594,CON.DE
1595,CONC
1596,CONX
1597,CONXU
1598,COOK
1599,COOL
1600,COOLU
1601,COOLW
1602,COOP
1603,CORR-PA
1604,CORR
1605,CORT
1606,COSG
1607,COSM
1608,COTY
1609,COUR
1610,COVA
1611,COVAW
1612,COWN
1613,COWNL
1614,CPAA
1615,CPAAU
1616,CPAAW
1617,CPARU
1618,CPE
1619,CPF
1620,CPHC
1621,CPIX
1622,CPLG
1623,CPNG
1624,CPRI
1625,CPRX
1626,CPS
1627,CPSH
1628,CPSI
1629,CPSR-UN
1630,CPSS
1631,CPTA
1632,CPTAG
1633,CPTAL
1634,CPTP
1635,CPUH
1636,CPWR
1637,CQCQ
1638,CQD.DE
1639,CQP
1640,CRAWA
1641,CRBP
1642,CRBU
1643,CRC
1644,CRCQW
1645,CRCT
1646,CRCW
1647,CRD-A
1648,CRD-B
1649,CRDF
1650,CREE
1651,CREX
1652,CREXW
1653,CRHC-UN
1654,CRHC
1655,CRIS
1656,CRK
1657,CRKN
1658,CRLBF
1659,CRMD
1660,CRMZ
1661,CRNC
1662,CRNX
1663,CRS
1664,CRSA
1665,CRSAU
1666,CRSAW
1667,CRSR
1668,CRT
1669,CRTD
1670,CRTG
1671,CRTO
1672,CRTX
1673,CRU-UN
1674,CRU
1675,CRVS
1676,CRVW
1677,CRWE
1678,CRWS
1679,CRXT
1680,CRY
1681,CRYO
1682,CRZN
1683,CRZNU
1684,CRZNW
1685,CSBB
1686,CSGP
1687,CSGS
1688,CSII
1689,CSLT
1690,CSOD
1691,CSPI
1692,CSPR
1693,CSR-PC
1694,CSSE
1695,CSSEN
1696,CSSEP
1697,CSTL
1698,CSTM
1699,CSTR
1700,CSU
1701,CSV
1702,CSVI
1703,CSWC
1704,CSX
1705,CTA-PA
1706,CTAC-UN
1707,CTAC
1708,CTAQ
1709,CTAQU
1710,CTAQW
1711,CTBI
1712,CTEK
1713,CTG
1714,CTGO
1715,CTHR
1716,CTIB
1717,CTIC
1718,CTKB
1719,CTLP
1720,CTMX
1721,CTO-PA
1722,CTO
1723,CTOS
1724,CTRA
1725,CTRE
1726,CTS
1727,CTSO
1728,CTT
1729,CTV
1730,CTVA
1731,CTX.DE
1732,CTXR
1733,CTXRW
1734,CUBB
1735,CUBE
1736,CUE
1737,CUEN
1738,CUII
1739,CURI
1740,CURLF
1741,CURO
1742,CURR
1743,CUTR
1744,CUZ
1745,CVA
1746,CVAT
1747,CVBF
1748,CVCY
1749,CVEO
1750,CVET
1751,CVGI
1752,CVI
1753,CVII
1754,CVLG
1755,CVLT
1756,CVLY
1757,CVM
1758,CVR
1759,CVRX
1760,CVS.DE
1761,CVSI
1762,CVT
1763,CVU
1764,CVV
1765,CWAN
1766,CWBC
1767,CWBR
1768,CWC.DE
1769,CWEN-A
1770,CWEN
1771,CWGL
1772,CWGRP
1773,CWH
1774,CWK
1775,CWRK
1776,CWST
1777,CWT
1778,CXDO
1779,CXM
1780,CXP
1781,CXU.DE
1782,CXW
1783,CYAN
1784,CYBE
1785,CYCA
1786,CYCC
1787,CYCCP
1788,CYCN
1789,CYDY
1790,CYH
1791,CYN
1792,CYRX
1793,CYT
1794,CYTH
1795,CYTK
1796,CYTR
1797,CYXT
1798,CZFS
1799,CZNC
1800,CZNI
1801,CZOO
1802,CZR
1803,CZWI
1804,D6H.DE
1805,DAIO
1806,DAL
1807,DALN
1808,DALS
1809,DAN
1810,DAOO
1811,DAP.DE
1812,DAR
1813,DATS
1814,DATSW
1815,DAWN
